,sample_id,sample_mean,sample_median,sample_sd,sample_sdmean,warning,detection_limit,transformed_prot,conc (ug/uL),Vol,Volafter BCA,voll for 60 ug,ug remaining,,ug_extracted_total,cells_filter,
1,1,3.440944126,3.132769187,0.736200164,0.213952955,warning,gtg,78.3,0.0783192,676,667,766,53,99,52.9437792,2.50242E+11,
2,2,3.481891476,3.356897716,0.449727448,0.129161822,good-to-go,gtg,83.9,0.0839224,658,649,715,55,66,55.2209392,2.95818E+11,
3,3,3.041662066,3.182552187,0.265881417,0.087413201,good-to-go,gtg,79.6,0.0795638,687,678,754,55,76,54.6603306,2.50014E+11,
4,4,4.593099558,4.958489422,1.267972368,0.276060284,warning,gtg,124,0.1239622,622,613,484,77,-129,77.1044884,2.71254E+11,
5,5,2.703769428,3.282158198,1.023447077,0.378526019,warning,gtg,82.1,0.082054,454,445,731,37,286,37.252516,2.56428E+11,
6,6,2.877052438,3.107882689,0.843684088,0.293245989,warning,gtg,77.7,0.0776971,639,630,772,50,142,49.6484469,2.72292E+11,
7,7,4.634071795,2.586036435,3.939977621,0.850219374,warning,gtg,64.7,0.0646509,650,641,928,42,287,42.023085,2.0652E+11,
8,8,5.645748186,7.13213427,3.003011188,0.531906683,warning,gtg,178.3,0.1783034,560,551,337,100,-214,99.849904,2.42442E+11,
9,9,4.442850307,5.18480856,1.306961959,0.294171955,warning,gtg,129.6,0.1296202,675,666,463,87,-203,87.493635,1.9515E+11,
10,10,4.361708595,4.361708595,2.019409338,0.462985845,warning,gtg,109,0.1090427,741,732,550,81,-182,80.8006407,2.11182E+11,
11,11,3.96567674,3.481530264,0.9041096,0.227983686,warning,gtg,87,0.0870383,665,656,689,58,33,57.8804695,1.9539E+11,
12,12,4.525378517,4.206042836,1.065409354,0.235429887,warning,gtg,105.2,0.1051511,597,588,571,63,-17,62.7752067,1.93206E+11,