h,Sample,FvFm,,AVG,stdev
0,CMA-1-119-1,0.616,0.549,0.5825,0.047376154
0,CMA-1-119-2,0.578,0.532,0.555,0.032526912
0,CMA-1-119-3,0.573,0.524,0.5485,0.034648232
0,CMA-1-137-7,0.58,0.536,0.558,0.031112698
0,CMA-1-129-8,0.558,0.525,0.5415,0.023334524
0,CMA-1-119-9,0.53,0.541,0.5355,0.007778175
0,CMA-1-146-1,0.562,0.539,0.5505,0.016263456
0,CMA-1-146-2,0.571,0.542,0.5565,0.020506097
0,CMA-1-146-3,0.555,0.535,0.545,0.014142136
0,CMA-1-146-7,0.568,0.511,0.5395,0.040305087
0,CMA-1-146-8,0.58,0.526,0.553,0.038183766
0,CMA-1-146-9,0.535,0.528,0.5315,0.004949747
24,CMA-1-119-1,0.56,0.552,0.556,0.005656854
24,CMA-1-119-2,0.627,0.545,0.586,0.057982756
24,CMA-1-119-3,0.662,0.556,0.609,0.074953319
24,CMA-1-137-7,0.686,0.556,0.621,0.091923882
24,CMA-1-129-8,0.56,0.553,0.5565,0.004949747
24,CMA-1-119-9,0.646,0.56,0.603,0.060811183
24,CMA-1-146-1,0.662,0.497,0.5795,0.116672619
24,CMA-1-146-2,0.449,0.466,0.4575,0.012020815
24,CMA-1-146-3,0.51,0.476,0.493,0.024041631
24,CMA-1-146-7,0.57,0.457,0.5135,0.079903066
24,CMA-1-146-8,0.536,0.469,0.5025,0.047376154
24,CMA-1-146-9,0.524,0.445,0.4845,0.055861436
48,CMA-1-119-1,0.621,0.562,0.5915,0.0417193
48,CMA-1-119-2,0.568,0.563,0.5655,0.003535534
48,CMA-1-119-3,0.625,0.563,0.594,0.04384062
48,CMA-1-137-7,0.657,0.576,0.6165,0.057275649
48,CMA-1-129-8,0.623,0.546,0.5845,0.054447222
48,CMA-1-119-9,0.631,0.553,0.592,0.055154329
48,CMA-1-146-1,0.537,0.426,0.4815,0.078488853
48,CMA-1-146-2,0.554,0.433,0.4935,0.085559921
48,CMA-1-146-3,0.514,0.444,0.479,0.049497475
48,CMA-1-146-7,0.498,0.447,0.4725,0.036062446
48,CMA-1-146-8,0.516,0.445,0.4805,0.050204581
48,CMA-1-146-9,0.597,0.434,0.5155,0.115258405